,CRSArrTime,DayOfWeek,DayofMonth,Dest,DestUTC,Distance,FlightDate,FltTime,Marketing_Airline_Network,Month,OrgUTC,Origin,Quarter,Tail_Number,TaxiIn,TaxiOut,WheelsOff,WheelsOn,Year,fltID,dtyRepTmUTC,dtyRelTmUTC
29,1755.0,5.0,28.0,MCI,2020-02-28 22:51:00+00:00,539.0,2020-02-28,0 days 01:58:00,DL,2.0,2020-02-28 20:53:00+00:00,CVG,1.0,N8839E,27.0,8.0,1701.0,1724.0,2020.0,11849.0,2020-02-28 20:06:00+00:00,2020-02-28 23:36:00+00:00
30,1928.0,5.0,28.0,RDU,2020-02-28 23:00:00+00:00,431.0,2020-02-28,0 days 01:39:00,DL,2.0,2020-02-28 21:21:00+00:00,LGA,1.0,N211JQ,5.0,18.0,1739.0,1855.0,2020.0,133190.0,2020-02-28 20:36:00+00:00,2020-02-29 00:57:00+00:00
31,1923.0,5.0,28.0,DFW,2020-02-29 00:12:00+00:00,812.0,2020-02-28,0 days 02:45:00,DL,2.0,2020-02-28 21:27:00+00:00,CVG,1.0,N315PQ,13.0,33.0,1800.0,1859.0,2020.0,16834.0,2020-02-28 20:36:00+00:00,2020-02-29 00:57:00+00:00
32,1741.0,5.0,28.0,PHL,2020-02-28 23:30:00+00:00,507.0,2020-02-28,0 days 02:02:00,DL,2.0,2020-02-28 21:28:00+00:00,CVG,1.0,N8891A,3.0,49.0,1817.0,1927.0,2020.0,15376.0,2020-02-28 20:43:00+00:00,2020-02-29 00:49:00+00:00
33,2020.0,5.0,28.0,SBN,2020-02-29 00:04:00+00:00,566.0,2020-02-28,0 days 01:48:00,DL,2.0,2020-02-28 22:16:00+00:00,ATL,1.0,N659BR,4.0,17.0,1833.0,2000.0,2020.0,36737.0,2020-02-28 20:43:00+00:00,2020-02-29 00:49:00+00:00
34,2149.0,5.0,28.0,IAH,2020-02-29 01:49:00+00:00,1416.0,2020-02-28,0 days 03:31:00,DL,2.0,2020-02-28 22:18:00+00:00,LGA,1.0,N124DU,4.0,10.0,1828.0,2045.0,2020.0,87785.0,2020-02-28 21:33:00+00:00,2020-02-29 00:33:00+00:00
35,2008.0,5.0,28.0,CHO,2020-02-28 23:48:00+00:00,305.0,2020-02-28,0 days 01:29:00,DL,2.0,2020-02-28 22:19:00+00:00,LGA,1.0,N833AY,12.0,24.0,1843.0,1936.0,2020.0,17929.0,2020-02-28 21:33:00+00:00,2020-02-29 00:33:00+00:00
36,2047.0,5.0,28.0,RDU,2020-02-29 00:13:00+00:00,431.0,2020-02-28,0 days 01:38:00,DL,2.0,2020-02-28 22:35:00+00:00,LGA,1.0,N926XJ,12.0,15.0,1850.0,2001.0,2020.0,6017.0,2020-02-28 21:50:00+00:00,2020-02-29 00:56:00+00:00
37,2051.0,5.0,28.0,CMH,2020-02-29 00:11:00+00:00,479.0,2020-02-28,0 days 01:33:00,DL,2.0,2020-02-28 22:38:00+00:00,LGA,1.0,N230JQ,4.0,17.0,1855.0,2007.0,2020.0,133402.0,2020-02-28 21:50:00+00:00,2020-02-29 00:56:00+00:00
38,1857.0,5.0,28.0,STL,2020-02-29 00:14:00+00:00,308.0,2020-02-28,0 days 01:34:00,DL,2.0,2020-02-28 22:40:00+00:00,CVG,1.0,N183GJ,4.0,37.0,1917.0,1910.0,2020.0,126471.0,2020-02-28 21:55:00+00:00,2020-02-29 00:53:00+00:00
